Dosya_Adi,Koruma_Sira_No,Koruma_Kodu,Koruma_Aciklamasi,Koruma_Durumu,Koruma_Detay_Satiri
7E0A0011,20,46,Faz Sırası/Negatif Sıra Koruma,Tespit Edildi,20. 46     | Faz Sırası/Negatif Sıra Koruma | Tespit Edildi
7E0A0011,21,59,Aşırı Gerilim Koruma,Tespit Edildi,21. 59     | Aşırı Gerilim Koruma           | Tespit Edildi
7E0A0011,22,59G,Toprak Aşırı Gerilim Koruma,Tespit Edildi,22. 59G    | Toprak Aşırı Gerilim Koruma    | Tespit Edildi
7E0A0011,23,59,Aşırı Gerilim Koruma,Tespit Edildi,23. 59     | Aşırı Gerilim Koruma           | Tespit Edildi
7E0A0011,24,59G,Toprak Aşırı Gerilim Koruma,Tespit Edildi,24. 59G    | Toprak Aşırı Gerilim Koruma    | Tespit Edildi
7E0A0011,25,59,Aşırı Gerilim Koruma,Tespit Edildi,25. 59     | Aşırı Gerilim Koruma           | Tespit Edildi
7E0A0011,26,59G,Toprak Aşırı Gerilim Koruma,Tespit Edildi,26. 59G    | Toprak Aşırı Gerilim Koruma    | Tespit Edildi
7E0A0011,27,27,Az Gerilim Koruma,Tespit Edildi,27. 27     | Az Gerilim Koruma              | Tespit Edildi
7E0A0011,28,27,Az Gerilim Koruma,Tespit Edildi,28. 27     | Az Gerilim Koruma              | Tespit Edildi
7E0A0011,29,27,Az Gerilim Koruma,Tespit Edildi,29. 27     | Az Gerilim Koruma              | Tespit Edildi
7E0A0011,30,59,Aşırı Gerilim Koruma,Tespit Edildi,32. 59     | Aşırı Gerilim Koruma           | Tespit Edildi
7E0A0011,31,59,Aşırı Gerilim Koruma,Tespit Edildi,33. 59     | Aşırı Gerilim Koruma           | Tespit Edildi
7E0A0011,32,59,Aşırı Gerilim Koruma,Tespit Edildi,34. 59     | Aşırı Gerilim Koruma           | Tespit Edildi
7E0A0011,33,49F,Termal Koruma,Tespit Edildi,35. 49F    | Termal Koruma                  | Tespit Edildi
7E0A0011,34,46,Faz Sırası/Negatif Sıra Koruma,Tespit Edildi,36. 46     | Faz Sırası/Negatif Sıra Koruma | Tespit Edildi
7E0A0011,35,46D,Faz Sırası Koruma - Açma,Tespit Edildi,37. 46D    | Faz Sırası Koruma - Açma       | Tespit Edildi
7E0A0011,36,50,Ani Akım Koruma,Tespit Edildi,38. 50     | Ani Akım Koruma                | Tespit Edildi
7E0A0011,37,51,Zaman Aşırı Akım Koruma,Tespit Edildi,39. 51     | Zaman Aşırı Akım Koruma        | Tespit Edildi
